A340-500;A340-500,
707-100B;B707-100B/300,
707-300B;B707-300,
717-200;717-200,
720B;B720-000,
727-100;727-100,
727-100RESuper27;727-100,
727-200;B727-200/231A,
737-100;B737-100/200,
737-200;B737-100/200,
737-200C;737-200C,
737-300;B737-300,
737-400;B737-400,
737-500;B737-500/600,
737-600;B737-500/600,
737-700;737-700/700LR/Max7,
737-700IGW;737-700/700LR/Max7,
737-8;B737Max800,
737-800;737-800,
737-9;B737Max900,
737-900;737-900,
737-900ER;737-900ER,
747-100;747-100,
747-200B;B747-200/300,
747-200C;B747-200/300,
747-300;B747-200/300,
747-400;B747-400,
747-400D;B747-400,
747SP;747SP,
757-200;B757-200,
757-200CB;B757-200,
757-300;757-300,
767-200;B767-200/ER/EM,
767-300;B767-300/300ER,
767-400ER;767-400/ER,
777-200;B777,
777-200LR;B777,
777-300;777-300/300ER/333ER,
777-300ER;777-300/300ER/333ER,
787-10Dreamliner;787-10Dreamliner,
787-8Dreamliner;B787-800Dreamliner,
787-9Dreamliner;B787-900Dreamliner,
A300B1;A300B/C/F-100/200,
A300B2-100;A300B/C/F-100/200,
A300B2-200;A300B/C/F-100/200,
A300B4-100;A300B/C/F-100/200,
A300B4-200;A300B/C/F-100/200,
A300B4-600;A300-600,
A300B4-600R;A300-600,
A300C4-200;A300B/C/F-100/200,
A300C4-600;A300-600,
A300C4-600R;A300-600,
A300F4-200;A300B/C/F-100/200,
A300F4-600R;A300-600,
A310-200;A310-200C/F,
A310-200C;A310-200C/F,
A310-300;A310-300,
A318;A-318,
A319;A319,
A320;A320-100/200,
A320neo;A320-200n,
A321-100;A321/Lr,
A321-200;A321/Lr,
A321neo;A321-200n,
A330-200;A330-200,
A330-300;A330-300/333,
A330-900;A330-900,
A350-900;A350-900,
A380-800;A380,
CRJ-200;RJ-200ER/RJ-440,
CRJ-700;RJ-700,
CRJ-900;CRJ900,
DC-10;DC10-40,
DC-9-10;DC9-10,
DC-9-30;DC9-30,
DC-9-40;DC9-40,
DC-9-50;DC9-50,
EMB-135(ERJ135/ERJ140);Embraer-135,
EMB-135BJLegacy;Embraer-135,
EMB-145(ERJ145);Embraer-145,
EMB-145XR(ERJ145XR);Embraer-145,
ERJ170-200(E175);EmbraerERJ-175,
ERJ190-100(E190);Embraer190,
ERJ190-200(E195);Embraer190,
ERJ190-300(E190-E2);Embraer190,
ERJ190-400(E195-E2);Embraer190,
L-1011TriStar;L1011-1/100/200,
MD-11;MD-11,
MD-81;MD80/DC9-80,
MD-82;MD80/DC9-80,
MD-83;MD80/DC9-80,
MD-87;MD80/DC9-80,
MD-88;MD80/DC9-80,
MD-90;MD-90,
DH.106Comet;Comet4}
